"","column_label","hour","mean_pm2_5","median_pm2_5"
"1","ry/Aoy 2 (outside) (31.75028 -106.48169) Primary ",0,6.62212455898144,4.32
"2","ry/Aoy 2 (outside) (31.75028 -106.48169) Primary ",1,8.4062252570201,5.25
"3","ry/Aoy 2 (outside) (31.75028 -106.48169) Primary ",2,11.609209187606,6.07
"4","ry/Aoy 2 (outside) (31.75028 -106.48169) Primary ",3,11.9688617886179,6.82
"5","ry/Aoy 2 (outside) (31.75028 -106.48169) Primary ",4,11.2579097605893,6.345
"6","ry/Aoy 2 (outside) (31.75028 -106.48169) Primary ",5,10.8719680687749,6.48
"7","ry/Aoy 2 (outside) (31.75028 -106.48169) Primary ",6,9.92100290920227,5.45
"8","ry/Aoy 2 (outside) (31.75028 -106.48169) Primary ",7,9.12381667688535,5.565
"9","ry/Aoy 2 (outside) (31.75028 -106.48169) Primary ",8,8.96513163972286,5.05
"10","ry/Aoy 2 (outside) (31.75028 -106.48169) Primary ",9,8.21871294731992,4.66
"11","ry/Aoy 2 (outside) (31.75028 -106.48169) Primary ",10,7.99766311892642,4.68
"12","ry/Aoy 2 (outside) (31.75028 -106.48169) Primary ",11,8.50198374980837,5.51
"13","ry/Aoy 2 (outside) (31.75028 -106.48169) Primary ",12,8.73988391629754,6.16
"14","ry/Aoy 2 (outside) (31.75028 -106.48169) Primary ",13,9.13913209273947,6.36
"15","ry/Aoy 2 (outside) (31.75028 -106.48169) Primary ",14,8.92792478894858,6.08
"16","ry/Aoy 2 (outside) (31.75028 -106.48169) Primary ",15,8.29062471078205,5.43
"17","ry/Aoy 2 (outside) (31.75028 -106.48169) Primary ",16,7.45010958481247,4.61
"18","ry/Aoy 2 (outside) (31.75028 -106.48169) Primary ",17,6.84650171714018,4.28
"19","ry/Aoy 2 (outside) (31.75028 -106.48169) Primary ",18,6.44677895708353,3.88
"20","ry/Aoy 2 (outside) (31.75028 -106.48169) Primary ",19,5.51327267166233,3.58
"21","ry/Aoy 2 (outside) (31.75028 -106.48169) Primary ",20,5.36278454367764,3.39
"22","ry/Aoy 2 (outside) (31.75028 -106.48169) Primary ",21,6.4906663671758,3.43
"23","ry/Aoy 2 (outside) (31.75028 -106.48169) Primary ",22,5.00953415218694,3.3
"24","ry/Aoy 2 (outside) (31.75028 -106.48169) Primary ",23,5.37963840777879,3.62
"25","ry/Aoy 2 B (undefined) (31.75028 -106.48169) Primary ",0,5.84516966067864,3.74
"26","ry/Aoy 2 B (undefined) (31.75028 -106.48169) Primary ",1,7.54050574712644,4.66
"27","ry/Aoy 2 B (undefined) (31.75028 -106.48169) Primary ",2,10.6781373152709,5.5
"28","ry/Aoy 2 B (undefined) (31.75028 -106.48169) Primary ",3,11.1146925318203,6.12
"29","ry/Aoy 2 B (undefined) (31.75028 -106.48169) Primary ",4,10.4481664359329,5.78
"30","ry/Aoy 2 B (undefined) (31.75028 -106.48169) Primary ",5,9.98482864607346,5.84
"31","ry/Aoy 2 B (undefined) (31.75028 -106.48169) Primary ",6,9.08428066943037,4.79
"32","ry/Aoy 2 B (undefined) (31.75028 -106.48169) Primary ",7,8.33979284947062,5.03
"33","ry/Aoy 2 B (undefined) (31.75028 -106.48169) Primary ",8,8.15332871226124,4.39
"34","ry/Aoy 2 B (undefined) (31.75028 -106.48169) Primary ",9,7.4814502529511,4.21
"35","ry/Aoy 2 B (undefined) (31.75028 -106.48169) Primary ",10,7.29850486036106,4.31
"36","ry/Aoy 2 B (undefined) (31.75028 -106.48169) Primary ",11,7.7783540802213,4.98
"37","ry/Aoy 2 B (undefined) (31.75028 -106.48169) Primary ",12,8.0154130401588,5.47
"38","ry/Aoy 2 B (undefined) (31.75028 -106.48169) Primary ",13,8.36847457627119,5.74
"39","ry/Aoy 2 B (undefined) (31.75028 -106.48169) Primary ",14,8.18615431814695,5.58
"40","ry/Aoy 2 B (undefined) (31.75028 -106.48169) Primary ",15,7.57146119426015,4.89
"41","ry/Aoy 2 B (undefined) (31.75028 -106.48169) Primary ",16,6.77689351851852,4.17
"42","ry/Aoy 2 B (undefined) (31.75028 -106.48169) Primary ",17,6.18362103948806,3.81
"43","ry/Aoy 2 B (undefined) (31.75028 -106.48169) Primary ",18,5.88105319803198,3.42
"44","ry/Aoy 2 B (undefined) (31.75028 -106.48169) Primary ",19,4.98034698868847,3
"45","ry/Aoy 2 B (undefined) (31.75028 -106.48169) Primary ",20,4.78681975606083,2.9
"46","ry/Aoy 2 B (undefined) (31.75028 -106.48169) Primary ",21,5.63161619190405,2.93
"47","ry/Aoy 2 B (undefined) (31.75028 -106.48169) Primary ",22,4.42682097378277,2.84
"48","ry/Aoy 2 B (undefined) (31.75028 -106.48169) Primary ",23,4.75169230769231,3.05
"49","ry/Aoy E.S. (outside) (31.750935 -106.481451) Primary ",0,8.89075534373195,5.025
"50","ry/Aoy E.S. (outside) (31.750935 -106.481451) Primary ",1,11.6095204983341,6.57
"51","ry/Aoy E.S. (outside) (31.750935 -106.481451) Primary ",2,15.3386865584321,8.16
"52","ry/Aoy E.S. (outside) (31.750935 -106.481451) Primary ",3,14.9434391456992,8.27
"53","ry/Aoy E.S. (outside) (31.750935 -106.481451) Primary ",4,13.6038658287051,7.88
"54","ry/Aoy E.S. (outside) (31.750935 -106.481451) Primary ",5,13.4959115457597,7.52
"55","ry/Aoy E.S. (outside) (31.750935 -106.481451) Primary ",6,13.4082959510632,7.4
"56","ry/Aoy E.S. (outside) (31.750935 -106.481451) Primary ",7,12.1633737757638,7.4
"57","ry/Aoy E.S. (outside) (31.750935 -106.481451) Primary ",8,12.0195745300889,6.63
"58","ry/Aoy E.S. (outside) (31.750935 -106.481451) Primary ",9,11.5151429822002,6.37
"59","ry/Aoy E.S. (outside) (31.750935 -106.481451) Primary ",10,11.3565304638651,6.43
"60","ry/Aoy E.S. (outside) (31.750935 -106.481451) Primary ",11,11.6062785620725,6.9
"61","ry/Aoy E.S. (outside) (31.750935 -106.481451) Primary ",12,11.839029296021,7.66
"62","ry/Aoy E.S. (outside) (31.750935 -106.481451) Primary ",13,11.6849320870454,7.84
"63","ry/Aoy E.S. (outside) (31.750935 -106.481451) Primary ",14,10.8199667293505,7.07
"64","ry/Aoy E.S. (outside) (31.750935 -106.481451) Primary ",15,9.38509096201426,5.67
"65","ry/Aoy E.S. (outside) (31.750935 -106.481451) Primary ",16,10.4930065645514,5.12
"66","ry/Aoy E.S. (outside) (31.750935 -106.481451) Primary ",17,11.0728884315743,5.33
"67","ry/Aoy E.S. (outside) (31.750935 -106.481451) Primary ",18,8.95239296187683,4.95
"68","ry/Aoy E.S. (outside) (31.750935 -106.481451) Primary ",19,7.53940348330914,4.3
"69","ry/Aoy E.S. (outside) (31.750935 -106.481451) Primary ",20,7.53457798297504,3.94
"70","ry/Aoy E.S. (outside) (31.750935 -106.481451) Primary ",21,8.09491314418066,3.91
"71","ry/Aoy E.S. (outside) (31.750935 -106.481451) Primary ",22,7.2763947633434,3.97
"72","ry/Aoy E.S. (outside) (31.750935 -106.481451) Primary ",23,8.38873569876901,4.05
"73","ry/Aoy E.S. B (undefined) (31.750935 -106.481451) Primary ",0,6.3727024291498,4.26
"74","ry/Aoy E.S. B (undefined) (31.750935 -106.481451) Primary ",1,8.10858761987794,5.23
"75","ry/Aoy E.S. B (undefined) (31.750935 -106.481451) Primary ",2,11.339307973665,6.18
"76","ry/Aoy E.S. B (undefined) (31.750935 -106.481451) Primary ",3,11.4675483021077,6.475
"77","ry/Aoy E.S. B (undefined) (31.750935 -106.481451) Primary ",4,10.9357655293088,6.17
"78","ry/Aoy E.S. B (undefined) (31.750935 -106.481451) Primary ",5,11.2450855388215,6.39
"79","ry/Aoy E.S. B (undefined) (31.750935 -106.481451) Primary ",6,10.4100480489225,5.79
"80","ry/Aoy E.S. B (undefined) (31.750935 -106.481451) Primary ",7,9.70800496930722,5.765
"81","ry/Aoy E.S. B (undefined) (31.750935 -106.481451) Primary ",8,9.69256189921352,5.125
"82","ry/Aoy E.S. B (undefined) (31.750935 -106.481451) Primary ",9,9.8357634032634,5.19
